"filename", "language", "java", "comment", "blank", "total"
"/home/haoyang/hol_parser/theory_parser/bin/main/java/net/claribole/zgrviewer/ZGRViewer.class", "java", -88, 0, -1, -89
"/home/haoyang/hol_parser/theory_parser/bin/main/java/net/claribole/zgrviewer/ZP2LensAction.class", "java", -12, 0, -1, -13
"/home/haoyang/hol_parser/theory_parser/bin/main/java/net/claribole/zgrviewer/ZgrAppletEvtHdlr.class", "java", -62, 0, -1, -63
"/home/haoyang/hol_parser/theory_parser/bin/main/java/net/claribole/zgrviewer/ZgrvEvtHdlr.class", "java", -63, 0, -1, -64
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/AppletUtils.class", "java", 62, 0, 0, 62
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/BaseEventHandler.class", "java", 47, 0, 0, 47
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/BookmarksList$1.class", "java", 18, 0, 0, 18
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/BookmarksList$2.class", "java", 12, 0, 0, 12
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/BookmarksList.class", "java", 36, 0, 1, 37
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/BroughtEdge.class", "java", 26, 0, 1, 27
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/BroughtElement.class", "java", 10, 0, 0, 10
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/BroughtNode$1.class", "java", 13, 0, 0, 13
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/BroughtNode.class", "java", 18, 0, 0, 18
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/CallBox$1.class", "java", 14, 0, 0, 14
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/CallBox$2.class", "java", 12, 0, 0, 12
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/CallBox$3.class", "java", 11, 0, 0, 11
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/CallBox.class", "java", 82, 0, 2, 84
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/ColorIndicator.class", "java", 15, 0, 0, 15
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/ConfigManager$1.class", "java", 10, 0, 0, 10
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/ConfigManager$2.class", "java", 11, 0, 1, 12
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/ConfigManager.class", "java", 325, 0, 5, 330
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/DOTManager.class", "java", 107, 0, 3, 110
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/DistanceComparator.class", "java", 13, 0, 0, 13
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/FrameDesign.class", "java", 23, 0, 0, 23
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/GVLoader$1.class", "java", 14, 0, 0, 14
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/GVLoader$2.class", "java", 11, 0, 0, 11
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/GVLoader$3.class", "java", 13, 0, 0, 13
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/GVLoader$4.class", "java", 12, 0, 0, 12
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/GVLoader$5.class", "java", 12, 0, 0, 12
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/GVLoader.class", "java", 127, 0, 0, 127
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/GeometryEditor.class", "java", 57, 0, 0, 57
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/GraphicsManager$1.class", "java", 11, 0, 0, 11
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/GraphicsManager$2.class", "java", 12, 0, 1, 13
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/GraphicsManager$3.class", "java", 9, 0, 1, 10
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/GraphicsManager.class", "java", 576, 0, 2, 578
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/LEdge.class", "java", 54, 0, 0, 54
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/LElem.class", "java", 20, 0, 0, 20
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/LGraph.class", "java", 55, 0, 0, 55
"/home/haoyang/hol_parser/theory_parser/bin/net/claribole/zgrviewer/LNode.class", "java", 41, 0, 0, 41
